foundjob,treat,age,priorearn,educ,female,nonwhite,married
1,1,46,0,12,1,1,0
1,1,24,3591,11,1,0,0
1,1,28,6000,9,0,1,1
1,0,23,2000,11,0,0,1
1,1,34,0,12,1,1,1
1,1,31,9476,10,1,0,0
1,1,21,750,12,0,1,0
1,1,20,4000,12,0,0,0
1,1,22,200,12,0,1,0
1,1,36,10000,13,0,0,1
1,1,41,0,12,1,0,1
1,1,24,10339,12,0,0,1
1,1,26,5000,12,0,0,0
1,1,27,150,12,1,0,0
1,1,20,0,12,1,1,0
1,1,35,1671,8,1,1,1
1,1,33,0,11,1,1,0
1,1,40,1569,12,1,0,1
1,1,23,11400,12,0,1,1
1,0,34,5000,13,0,0,0
1,0,22,3412,17,1,0,0
1,1,31,8000,14,0,0,0
1,0,28,12300,12,0,0,1
1,1,29,7751,12,1,0,0
1,1,45,1176,12,1,1,1
1,0,26,600,11,1,0,0
1,0,28,6634,12,1,0,0
1,0,33,0,10,1,1,0
1,0,20,2000,12,0,0,0
1,1,21,7000,12,0,0,1
1,1,21,3000,12,1,1,0
1,0,33,500,12,1,0,1
1,1,39,900,15,1,1,0
1,1,19,759,12,1,1,0
1,0,29,8460,12,1,0,0
1,0,23,2500,9,0,0,0
1,0,26,8020,12,1,0,1
1,0,29,13000,12,0,0,1
1,1,29,4500,12,1,1,0
1,1,26,0,9,1,0,0
1,1,20,819,12,0,0,1
1,0,29,4000,14,1,0,0
1,0,29,2041,13,1,1,0
1,1,29,0,9,1,0,0
1,1,20,0,12,1,1,0
1,1,21,3000,12,0,0,1
1,1,41,0,15,0,1,1
1,1,25,0,15,0,0,1
1,0,22,3500,12,1,1,0
1,1,22,5200,10,0,1,0
1,1,54,1900,10,1,1,1
1,1,33,10000,11,0,1,1
1,0,24,10000,13,1,1,0
1,1,24,0,12,1,0,1
1,0,21,1980,12,0,1,0
1,1,21,0,12,1,1,0
1,1,27,30,10,1,1,0
1,1,22,0,12,0,1,0
1,0,17,0,10,0,1,0
1,1,33,1200,14,0,0,0
1,0,25,2948,12,0,1,1
1,1,29,0,12,1,0,0
1,0,26,0,12,1,0,0
1,1,38,0,12,0,1,0
1,1,30,0,12,1,0,1
1,0,55,0,12,1,0,0
1,0,31,0,12,1,1,0
1,1,21,6500,11,0,0,0
1,1,16,0,10,0,1,0
1,1,24,0,11,0,1,0
1,1,37,3200,15,1,1,1
1,0,25,14102,12,0,0,1
1,0,21,161,12,1,1,0
1,1,23,0,12,1,1,1
1,0,38,0,8,0,1,0
1,1,21,139,12,0,0,0
1,1,22,11653,12,0,0,0
1,1,32,1000,14,0,1,0
1,1,20,3600,11,0,0,1
1,1,32,0,12,1,0,1
1,0,35,0,11,1,0,0
1,1,29,5280,16,0,1,1
1,1,34,0,9,1,0,0
1,1,36,1546,10,0,1,0
1,1,39,0,11,1,1,0
1,1,24,4550,12,0,1,0
1,1,37,4500,12,1,1,0
1,1,17,0,10,1,1,0
1,1,23,12088,13,0,0,0
1,1,21,2371,12,0,0,0
1,0,29,9000,12,1,0,0
1,1,22,500,9,1,0,1
1,1,20,4051,14,1,0,0
1,0,18,1000,11,0,0,0
1,1,47,7151,9,0,0,1
1,1,19,0,10,0,1,0
1,1,38,0,10,1,1,0
1,1,25,8440,12,1,0,0
1,0,29,100,11,0,1,0
1,0,25,11490,11,0,0,1
1,1,22,2500,12,0,0,0
1,1,23,0,11,1,0,1
1,0,20,5500,14,0,0,0
1,1,20,500,13,1,1,0
1,1,17,1172,11,1,0,0
1,1,22,6000,12,0,0,0
1,1,22,8000,13,0,0,1
1,0,20,6000,10,0,0,0
1,1,18,0,11,0,1,0
1,1,40,5200,12,0,1,1
1,1,39,422,11,1,0,0
1,1,37,3815,16,0,0,0
1,0,19,0,12,1,0,0
1,1,19,5000,12,1,0,0
1,1,31,2000,15,0,1,0
1,0,25,1000,12,1,0,0
1,1,35,0,15,1,1,0
1,1,28,15000,12,1,1,0
1,1,17,450,11,0,0,0
1,0,20,300,9,1,1,0
1,1,20,83,12,1,1,0
1,1,25,6000,14,1,0,0
1,1,20,0,9,1,1,0
1,1,17,0,10,0,1,0
1,0,19,7000,12,0,0,1
1,0,19,2000,10,0,0,0
1,0,32,10000,10,0,0,1
1,0,23,0,12,1,1,0
1,1,21,10360,12,0,1,0
1,0,43,5500,17,0,0,0
1,0,37,0,12,0,1,0
1,1,24,11000,12,0,0,0
1,1,25,2300,12,0,0,0
1,0,20,4000,14,1,0,0
1,0,24,450,13,1,0,0
1,0,29,1300,15,0,0,0
1,1,29,2000,8,0,0,0
1,1,30,5500,14,0,0,0
1,0,20,11080,11,0,0,1
1,0,22,12000,12,0,1,1
1,1,33,5880,12,1,1,0
1,1,17,2247,10,0,0,0
1,1,41,0,13,0,1,0
1,1,29,700,12,1,0,1
1,0,31,0,8,1,0,0
1,1,20,3500,12,1,0,0
1,1,19,400,12,0,0,0
1,1,78,0,12,0,0,1
1,1,41,3000,14,1,0,1
1,1,27,2856,14,0,0,0
1,0,23,9625,11,0,1,1
1,1,30,600,14,1,0,0
1,1,30,10000,15,0,1,0
1,0,20,5200,14,1,0,0
1,1,32,6500,11,1,0,0
1,0,36,10000,12,0,1,0
1,1,18,0,11,1,1,0
1,0,37,3000,8,1,0,1
1,1,23,1024,11,1,0,1
1,0,21,400,12,1,1,1
1,0,24,3400,12,1,1,0
1,0,74,5000,16,0,0,1
1,0,30,0,10,1,1,0
1,0,18,0,12,1,1,0
1,1,34,0,12,1,1,0
1,1,21,4791,12,0,0,1
1,1,41,8120,8,0,1,1
1,0,20,0,10,0,1,0
1,1,33,0,12,1,1,1
1,0,39,350,9,1,1,0
1,0,19,5000,10,0,0,0
1,1,17,1200,9,0,0,0
1,1,18,828,12,1,0,0
1,0,38,14665,16,1,0,0
1,1,27,5730,10,1,0,0
1,1,42,6314,12,1,0,1
1,0,22,2400,10,1,1,1
1,0,18,0,12,1,0,0
1,1,20,2000,9,0,1,0
1,1,39,1000,11,1,0,0
1,0,19,2000,12,1,1,0
1,0,68,0,11,1,0,1
1,1,49,2112,12,0,1,0
1,1,26,2725,11,0,0,0
1,0,41,671,12,0,0,0
1,1,34,130,10,1,0,1
1,1,33,0,11,1,1,0
1,0,17,1000,8,0,0,0
1,1,32,5200,9,1,0,0
1,1,37,3000,12,1,0,1
1,1,31,11475,13,1,1,1
1,1,30,4000,12,1,0,0
1,1,54,8786,12,1,0,0
1,1,21,1000,12,1,0,0
1,1,32,550,12,1,0,1
1,1,19,870,12,1,0,0
1,1,20,0,12,1,1,0
1,0,23,0,13,1,0,0
1,1,24,0,15,0,0,0
1,1,21,3500,12,1,0,0
1,1,25,7360,9,1,1,1
1,1,26,300,8,0,0,0
1,1,28,0,12,0,1,0
1,0,39,2800,14,0,0,0
1,1,28,5400,12,1,0,0
1,1,35,1400,12,0,1,0
1,1,20,0,10,1,0,0
1,1,37,0,11,0,0,0
1,1,19,0,10,0,1,0
1,1,31,15000,12,0,0,1
1,1,34,3800,12,1,1,1
1,0,48,7500,10,1,0,0
1,0,34,2100,12,0,0,0
1,1,17,0,8,0,1,0
1,1,22,2500,12,0,1,0
1,1,18,98,11,1,1,0
1,1,24,5000,13,1,1,0
1,1,23,98,9,0,0,0
1,1,19,110,12,0,1,0
1,1,27,5915,8,0,0,1
1,1,28,0,12,1,0,1
1,1,56,11189,9,0,1,0
1,1,20,3325,14,1,0,0
1,1,41,3000,12,1,0,0
1,0,60,7000,12,1,0,0
1,0,31,4000,14,1,0,0
1,1,28,5494,13,1,0,0
1,0,17,0,9,1,0,0
1,0,23,2808,12,1,1,0
1,1,36,6000,12,0,0,1
1,0,46,2160,11,1,0,0
1,1,30,1000,8,1,0,1
1,1,41,3593,12,0,0,1
1,1,19,7000,11,0,0,0
1,1,28,0,12,1,0,1
1,1,27,300,12,1,1,0
1,1,26,600,11,0,1,0
1,1,29,3000,12,1,0,1
1,0,42,2000,14,1,1,0
1,1,28,8125,12,1,0,0
1,1,20,0,12,0,0,0
1,1,17,0,10,1,0,0
1,1,37,7820,10,1,1,1
1,0,26,5120,11,0,1,0
1,1,37,0,12,0,0,0
1,1,32,0,12,0,1,0
1,0,17,2000,8,0,1,0
1,1,20,2000,12,0,1,0
1,1,25,3500,16,1,0,0
1,0,21,0,12,1,1,0
1,1,35,1440,17,1,1,1
1,1,28,1300,13,1,1,0
1,1,18,0,10,0,1,0
1,1,30,0,12,0,1,0
1,1,48,12500,15,0,0,1
1,0,37,1000,11,0,1,0
1,1,28,3400,12,1,1,0
1,1,30,0,9,1,1,1
1,1,23,179,12,0,1,0
1,1,33,3380,12,0,0,1
1,1,19,150,12,1,0,0
1,0,21,0,10,1,1,0
1,0,34,9,8,1,0,1
1,0,27,8386,12,1,1,0
1,1,22,0,10,1,1,0
1,1,27,8000,14,1,1,0
1,0,26,800,12,1,0,0
1,0,31,0,13,1,0,0
1,1,28,187,13,1,0,0
1,1,31,0,12,1,1,1
1,1,30,0,16,0,0,0
1,1,28,0,9,0,1,0
1,1,62,5000,17,1,0,0
1,0,20,4410,11,1,0,0
1,1,37,0,12,1,0,0
1,0,19,4770,12,0,0,0
1,0,23,500,13,1,1,1
1,1,33,12000,9,1,0,0
1,1,34,5000,12,1,0,0
1,1,24,2500,15,0,1,0
1,1,40,4252,12,0,0,0
1,1,39,10600,12,1,0,0
1,1,18,1005,10,1,0,0
1,0,27,200,14,0,0,0
1,1,26,12000,13,0,1,0
1,0,17,600,10,0,1,0
1,1,19,0,10,1,1,0
1,1,28,7200,15,0,1,1
1,0,31,2000,12,0,1,1
1,0,28,0,12,0,1,0
1,1,23,3826,11,1,1,0
1,0,22,1100,12,0,1,0
1,1,34,17000,14,0,0,1
1,1,18,45,10,1,0,0
1,1,63,0,12,1,0,1
1,1,34,0,10,0,0,0
1,0,17,0,12,1,1,0
1,1,26,10000,14,0,0,1
1,1,21,5590,12,0,1,0
