pt_voteevalalignindex,pt_id_with_lean,treat,age,voted2006,voted2004,pt_church,twonames,strata,voted2002,voted2000,voted1998,voted1996,regyear,voted2008,pid7,interest,votein2000,vote2000bush,vote2000gore,econretro,unemployment,bushapp,congapp,pt_gotmail,pt_gotphone,pt_gotface,pt_gotmoney,pt_gotad,pt_persuadeothers,pt_soughtinfo,pt_interest,pt_pid7,pt_votein2000,pt_vote2000bush,pt_vote2000gore,pt_novvote,pt_stayiniraq,pt_taxrich,pt_evalreagan,pt_evalcarter,pt_evaldem,pt_evalrep,pt_econretro,pt_postunemployperf,pt_bushapp,pt_congapp,pt_campaigndonation,pt_educ,pt_black,pt_hispanic,pt_yob,pt_female,townshowsnoturnoutinvoterfile,R_persondead,R_movedpre,R_movedpost,R_badmailadddress,R_anybad,R_STRATACOAFILTER,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SDA_1,SDA_2,SDA_3,SDA_5,SDA_6,SDA_7,stratactr,altstrata,SI_2,SI_3,SI_4,SI_5,SI_6,SI_7,SI_8,SI_9,STI_1,STI_2,STI_3,STI_4,STI_5,STI_6,STI_7,STI_8,STI_9,post_unif,post_affil,post_dem,post_rep,post_DUR,vffemale,vfgendermissing,age2,twophones,regyearmissing,combined_female,pre_direct_bushap,pt_direct_bushap,pre_direct_congapp,pt_direct_congapp,pt_direct_bin_novvote,pre_aligned_vh,post_aligned_vh,pre_direct_econ,pre_direct_unemp,post_direct_econ,post_direct_unemp,post_aligned_iraq,post_aligned_taxrich,post_aligned_reagan,post_aligned_carter,post_aligned_rep,post_aligned_dem,pre_lean_dem,abspid7,pt_direct_pid7,post_reg_lean,pt_voteevalalignindexwithcb,pt_voteevalalignindexwitcbhist,pt_policyevalalignindex
4,0,1,49,1,1,0.625,0,15,1,1,0,0,1990,0,5,1,1,1,0,1,0,2,2,1,1,0,1,1,0,0,1,5,1,1,0,-1,0,1,2,1,-1,1,-1,-1,2,2,1,3,0,0,1958,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2401,0,0,1,2,2,-2,-2,1,1,1,1,0,-1,-1,0,-1,2,-1,1,1,0,1,5,0,4,5,-3
3,0,0,38,1,1,0.875,1,13,0,0,0,0,2002,0,3,1,1,0,1,0,0,-1,1,1,0,0,0,1,0,1,2,3,1,0,1,1,1,1,2,1,1,0,-2,NA,-1,-1,1,4,0,0,1970,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1444,1,0,1,1,1,1,-1,1,1,1,0,0,2,NA,-1,1,-2,1,0,1,1,1,5,0,3,2,NA
1,0,0,34,1,0,NA,0,13,0,0,0,0,2004,0,3,2,1,1,0,-2,-1,0,2,0,0,0,1,1,0,1,2,3,1,1,0,1,-2,2,2,0,0,0,-2,-2,-2,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1156,0,0,1,0,2,2,2,1,0,0,2,1,2,2,2,2,-2,0,0,0,1,1,5,1,5,3,8
6,0,1,40,1,1,0,1,13,0,0,0,0,2004,0,3,2,1,0,1,-2,0,-2,2,0,0,0,0,1,0,1,2,3,1,0,1,1,-2,-1,0,1,2,-2,-1,-1,-2,2,1,5,0,0,1968,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1600,1,0,1,2,2,2,2,1,1,1,2,0,1,1,2,-1,0,1,2,2,1,1,5,0,10,11,3
0,1,0,32,0,0,0.125,0,15,0,0,0,0,2007,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,0,0,0,-2,1,2,0,1,1,-1,0,1,-1,1,4,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1024,0,0,0,1,1,0,1,0,0,0,0,0,-1,0,-2,-1,2,0,1,-1,0,1,6,0,2,4,-4
1,0,1,39,1,1,0.5,1,13,1,1,0,0,1998,0,3,1,1,0,1,-1,-1,-2,0,1,1,0,0,1,0,1,2,3,1,0,0,1,-1,1,2,1,1,1,-1,-1,-1,1,1,5,0,0,1968,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1521,1,0,1,2,1,0,1,1,1,0,1,1,1,1,1,1,-2,1,-1,1,1,1,5,0,3,2,4
-1,0,0,48,1,0,0.875,0,15,0,1,0,0,1993,0,5,0,1,1,0,-2,0,-1,-1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,-1,1,1,1,0,-1,0,-1,0,1,3,0,0,1959,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2304,0,0,1,-1,-1,1,0,0,1,0,-2,0,-1,0,0,1,1,-1,0,-1,0,1,5,0,-2,-2,0
1,0,0,30,1,0,0.25,0,15,0,0,0,0,1996,0,5,1,1,1,0,-1,0,2,-2,1,0,0,1,1,1,1,2,5,0,0,0,0,-2,-1,2,0,-1,0,-1,0,2,-2,1,5,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,900,0,0,0,2,2,2,2,0,1,0,-1,0,-1,0,-2,1,2,0,0,1,0,1,5,0,5,7,-2
2,1,1,41,0,1,0.875,0,13,0,0,0,0,2004,0,3,2,1,0,1,-1,-2,-1,-2,0,0,0,0,1,0,1,2,2,1,0,1,-1,1,2,2,1,1,0,-2,-1,-2,-2,1,3,0,0,1966,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1681,0,0,1,1,2,-2,-2,0,1,1,1,2,2,1,-1,2,-2,1,0,1,1,1,6,0,2,1,4
4,0,1,37,0,0,0,0,13,0,0,0,0,2007,0,3,1,1,0,1,-2,-1,-2,1,1,0,0,1,1,0,1,1,3,1,0,1,1,-1,1,-2,1,1,-1,-2,0,-2,2,0,4,0,0,1970,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1369,0,0,0,2,2,1,2,1,1,1,2,1,2,0,1,1,2,1,1,1,1,1,5,0,8,11,4
